"CandidateName","Party","ElectionYear","Jurisdiction","Office","District","CampaignStatus","CandidateStatus","CandidateID"
"ADAMS, MARK","Democratic","2000","STATEWIDE","District Attorney","District 13","Inactive","Terminated","20005001168"
"ADAMS, MARK","Republican","1994","STATEWIDE","Secretary of State","","Inactive","Terminated","20005000096"
"ADAMS, NATHAN","Democratic","2020","STATEWIDE","Colorado House","House District 06","Inactive","Terminated","20205037968"
"ADAMS, VICTORIA","Unaffiliated","2010","STATEWIDE","Lt. Governor","","Inactive","Terminated","20105018248"
"ADAMSON, PATRICK","Libertarian","2002","STATEWIDE","Colorado Senate","Senate District 34","Inactive","Terminated","20005001645"
"ADEN, DOUGLAS","American Constitution","2014","STATEWIDE","Colorado Senate","Senate District 01","Inactive","Terminated","20145028043"
"ADKINS, JEANNE","Republican","1994","STATEWIDE","Colorado House","House District 64","Inactive","Terminated","20005000327"
"ADKINS, JEANNE","Republican","1996","STATEWIDE","Colorado House","House District 64","Inactive","Terminated","20005000547"
"ADKINS, JEANNE","Republican","1998","STATEWIDE","State Treasurer","","Inactive","Terminated","20005000630"
"AGAHRO, OVIEH","Democratic","2008","STATEWIDE","Colorado House","HOUSE DISTRICT 44","Inactive","Terminated","20085609417"
"AGLER, REX","Republican","2002","STATEWIDE","CU Regent","District 06","Inactive","Terminated","20005000364"
"AGLER, VICKIE","Republican","1994","STATEWIDE","Colorado House","House District 28","Inactive","Terminated","20005000247"
"AGLER, VICKIE","Republican","1996","STATEWIDE","Colorado House","House District 28","Inactive","Terminated","20005000469"
"AGLER, VICKIE","Republican","1998","STATEWIDE","Colorado Senate","Senate District 22","Inactive","Terminated","20005000665"
"AGUILAR, IRENE","Democratic","2012","STATEWIDE","Colorado Senate","Senate District 32","Inactive","Terminated","20105018807"
"AGUILAR, IRENE","Democratic","2014","STATEWIDE","Colorado Senate","Senate District 32","Inactive","Terminated","20105018807"
"AHERN, BRIAN","Democratic","2006","STATEWIDE","Colorado House","House District 58","Inactive","Terminated","20065627472"
"AHREND, JARRED","Unaffiliated","2014","STATEWIDE","Governor","","Inactive","Active","20135025447"
"AHREND, JARRED","Unaffiliated","2022","STATEWIDE","Governor","","Active","Active","20135025447"
"AHRENS, JOHN","Republican","2018","STATEWIDE","State Board of Ed.","Bd. Ed. District 02","Inactive","Terminated","20175032356"
"AIKEN, SIMONE","Democratic","2018","STATEWIDE","Colorado House","HOUSE DISTRICT 44","Inactive","Terminated","20175033163"
"AITKEN, DAVID","Libertarian","2002","STATEWIDE","Secretary of State","","Inactive","Terminated","20005001531"
"AITKEN, DAVID","Unaffiliated","1994","STATEWIDE","Governor","","Inactive","Terminated","20005000084"
"AITKEN, DAVID","Unaffiliated","1996","STATEWIDE","RTD DIRECTOR","RTD District A","Inactive","Terminated","20005000589"
"AITKEN, DAVID","Unaffiliated","1998","STATEWIDE","Colorado House","House District 05","Inactive","Terminated","20005000883"
"AITKEN, DAVID","Unaffiliated","2000","STATEWIDE","RTD DIRECTOR","RTD District A","Inactive","Terminated","20005000810"
"AJIBOYE, GBENGA","Democratic","2018","STATEWIDE","Colorado House","House District 48","Inactive","Terminated","20185033708"
"AJIBOYE, GBENGA","Democratic","2020","STATEWIDE","Colorado Senate","Senate District 23","Inactive","Terminated","20195036222"
"AKERSON, DAVID","Democratic","1996","STATEWIDE","Colorado House","House District 03","Inactive","Terminated","20005000416"
"ALBRIGHT, JOHN","Republican","2006","STATEWIDE","Colorado House","House District 64","Inactive","Terminated","20055622931"
"ALEXANDER, BEN","Republican","1994","STATEWIDE","Colorado Senate","Senate District 06","Inactive","Terminated","20005000133"
"ALEXANDER, BEN","Republican","1998","STATEWIDE","Colorado Senate","Senate District 06","Inactive","Terminated","20005000645"
"ALEXANDER, BEN","Republican","1998","STATEWIDE","Lt. Governor","","Inactive","Terminated","20005000839"
"ALEXANDER, BEN","Republican","2002","STATEWIDE","State Board of Ed.","STATE BD. OF ED. AT LARGE","Inactive","Terminated","20005001187"
"ALEXANDER, JAMES","Democratic","2010","STATEWIDE","CU Regent","CU REGENT AT LARGE","Inactive","Terminated","20095622771"
"ALEXANDER, JAMES","Democratic","2016","STATEWIDE","CU Regent","District 01","Inactive","Terminated","20145028785"
"ALEXANDER, KAY","Republican","1996","STATEWIDE","Colorado House","House District 58","Inactive","Terminated","20005000533"
"ALEXANDER, KAY","Republican","1998","STATEWIDE","Colorado House","House District 58","Inactive","Terminated","20005000772"
"ALEXANDER, KAY","Republican","2000","STATEWIDE","Colorado House","House District 58","Inactive","Terminated","20005001149"
"ALEXANDER, KAY","Unknown","2002","STATEWIDE","Colorado Senate","Senate District 06","Inactive","Terminated","20005001309"
"ALEXANDER, WILLIAM","Non-Partisan","2014","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 10","Inactive","Terminated","20145028154"
"ALEXANDER, WILLIAM","Non-Partisan","2020","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 10","Inactive","Terminated","20145028154"
"ALLBRIGHT, MARTHA","Unknown","2002","STATEWIDE","Attorney General","","Inactive","Terminated","20005001325"
"ALLEN, DEBBIE","Republican","1994","STATEWIDE","Colorado House","House District 43","Inactive","Terminated","20005000285"
"ALLEN, DEBBIE","Republican","1996","STATEWIDE","Colorado House","House District 43","Inactive","Terminated","20005000504"
"ALLEN, DEBBIE","Republican","1998","STATEWIDE","Colorado House","House District 43","Inactive","Terminated","20005000737"
"ALLEN, DEBBIE","Republican","2000","STATEWIDE","Colorado House","House District 43","Inactive","Terminated","20005001037"
"ALLEN, EARL","Libertarian","2002","STATEWIDE","Colorado House","House District 33","Inactive","Terminated","20005001639"
"ALLEN, JERRY","Republican","2002","STATEWIDE","Colorado House","House District 63","Inactive","Terminated","20005001411"
"ALLEN, KEVIN","Republican","2022","STATEWIDE","Colorado House","House District 34","Active","Active","20215041831"
"ALLEN, MICHAEL","Republican","2020","STATEWIDE","District Attorney","District 04","Inactive","Terminated","20195036515"
"ALLEN, MIKE","Democratic","1996","STATEWIDE","Colorado House","House District 63","Inactive","Terminated","20005000545"
"ALLEN, MIKE","Democratic","1998","STATEWIDE","Colorado House","House District 63","Inactive","Terminated","20005000778"
"ALLEN, SCOTT","Libertarian","2016","STATEWIDE","Colorado Senate","Senate District 10","Inactive","Terminated","20165031074"
"ALLEN, W","Unknown","2000","STATEWIDE","Colorado House","House District 31","Inactive","Terminated","20005001286"
"ALLEN, WILLIAM","Libertarian","2012","STATEWIDE","Colorado House","House District 33","Inactive","Terminated","20125024220"
"ALLEY, GORDON","Republican","2018","STATEWIDE","Colorado Senate","Senate District 34","Inactive","Terminated","20185034042"
"ALLEY, KRISTINA","Republican","2018","STATEWIDE","Colorado House","House District 28","Inactive","Terminated","20185034036"
"ALLPORT, TIMOTHY","Democratic","2012","STATEWIDE","Colorado House","House District 27","Inactive","Terminated","20115022913"
"ALM, CARL","Non-Partisan","2021","STATEWIDE","AIMS JUNIOR COLLEGE BOARD OF TRUSTEES","DISTRICT C","Inactive","Terminated","20215040564"
"ALONSO HOLTORF, RICHARD","Republican","2020","STATEWIDE","Colorado House","House District 64","Inactive","Terminated","20205037914"
"ALONSO HOLTORF, RICHARD","Republican","2022","STATEWIDE","Colorado House","House District 63","Active","Active","20225041892"
"ALSTON, MARLO","Democratic","2014","STATEWIDE","Colorado House","House District 37","Active","Active","20125025251"
"ALSUP, JOSEPH","Democratic","2008","STATEWIDE","Colorado Senate","Senate District 04","Inactive","Terminated","20085613032"
"ALTHEN, CHRISTIAN","Libertarian","2012","STATEWIDE","Colorado House","House District 24","Inactive","Terminated","20125024210"
"ALVAREZ, LUIS","Republican","2010","STATEWIDE","Colorado Senate","Senate District 24","Inactive","Terminated","20055624072"
"ALVAREZ-IZA, LUIS","Republican","2006","STATEWIDE","Colorado Senate","Senate District 24","Inactive","Terminated","20055624072"
"ALWARD, RICHARD","Democratic","2006","STATEWIDE","Colorado House","House District 54","Inactive","Terminated","20065622453"
"AMABILE, JUDITH","Democratic","2020","STATEWIDE","Colorado House","House District 13","Inactive","Terminated","20195036278"
"AMABILE, JUDITH","Democratic","2022","STATEWIDE","Colorado House","House District 13","Inactive","Terminated","20195036278"
"AMABILE, JUDY","Democratic","2022","STATEWIDE","Colorado House","House District 49","Active","Active","20215041836"
"AMBLER, JONATHAN","Republican","2018","STATEWIDE","Colorado House","House District 46","Inactive","Active","20185035166"
"AMBLER, JONATHAN","Republican","2020","STATEWIDE","Colorado House","House District 46","Inactive","Active","20185035166"
"AMBLER, JONATHAN","Republican","2022","STATEWIDE","Colorado House","House District 46","Active","Active","20185035166"
"AMENT, DON","Republican","1994","STATEWIDE","Colorado Senate","Senate District 01","Inactive","Terminated","20005000125"
"AMENT, DON","Republican","1998","STATEWIDE","Colorado House","House District 65","Inactive","Terminated","20005000788"
"AMENT, DON","Republican","1998","STATEWIDE","Colorado Senate","Senate District 01","Inactive","Terminated","20005000636"
"AMENT, J.J.","Republican","2010","STATEWIDE","State Treasurer","","Inactive","Terminated","20095610985"
"AMICO, MICHELLE","Non-Partisan","2014","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 18","Inactive","Terminated","20145028374"
"AMICO, MICHELLE","Non-Partisan","2020","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 18","Inactive","Terminated","20145028374"
"ANDAMSON, PATRICK","Libertarian","2002","STATEWIDE","Colorado Senate","Senate District 34","Inactive","Terminated","20005001622"
"ANDERSON, CAROLYN","Democratic","2016","STATEWIDE","Colorado House","House District 38","Inactive","Terminated","20165031431"
"ANDERSON, DOUG","Libertarian","2002","STATEWIDE","Colorado House","House District 26","Inactive","Terminated","20005001599"
"ANDERSON, DOUG","Republican","1998","STATEWIDE","Colorado House","House District 09","Inactive","Terminated","20005000886"
"ANDERSON, DOUGLAS","Libertarian","2004","STATEWIDE","Colorado House","House District 26","Inactive","Terminated","20045644061"
"ANDERSON, DOUGLAS","Libertarian","2020","STATEWIDE","Colorado House","House District 23","Inactive","Terminated","20205038896"
"ANDERSON, DOUGLAS","Libertarian","2020","STATEWIDE","Colorado Senate","Senate District 23","Inactive","Terminated","20205038892"
"ANDERSON, DOUGLAS","Unaffiliated","1996","STATEWIDE","RTD DIRECTOR","RTD District A","Inactive","Terminated","20005000590"
"ANDERSON, EMILY","Non-Partisan","2016","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 17","Inactive","Terminated","20165031542"
"ANDERSON, GRAHAM","Democratic","2018","STATEWIDE","Colorado House","House District 18","Inactive","Terminated","20175032185"
"ANDERSON, LORRAINE","Non-Partisan","2014","STATEWIDE","RTD DIRECTOR","RTD District L","Inactive","Terminated","20105017884"
"ANDERSON, LORRAINE","Unknown","2010","STATEWIDE","RTD DIRECTOR","RTD District L","Inactive","Terminated","20105017884"
"ANDERSON, NINA","Republican","2022","STATEWIDE","Colorado House","House District 54","Inactive","Terminated","20215041781"
"ANDERSON, NINA","Republican","2022","STATEWIDE","Colorado House","House District 55","Inactive","Terminated","20215040051"
"ANDERSON, NORMA","Republican","1994","STATEWIDE","Colorado House","House District 30","Inactive","Terminated","20005000253"
"ANDERSON, NORMA","Republican","1996","STATEWIDE","Colorado House","House District 30","Inactive","Terminated","20005000474"
"ANDERSON, NORMA","Republican","1998","STATEWIDE","Colorado Senate","Senate District 22","Inactive","Terminated","20005000664"
"ANDERSON, NORMA","Republican","2002","STATEWIDE","Colorado Senate","Senate District 22","Inactive","Terminated","20005000664"
"ANDERSON, PAM","Republican","2022","STATEWIDE","Secretary of State","","Active","Active","20215041643"
"ANDERSON, PHIL","Unaffiliated","1996","STATEWIDE","RTD DIRECTOR","RTD District A","Inactive","Terminated","20005000591"
"ANDERSON, PHIL","Unaffiliated","2000","STATEWIDE","RTD DIRECTOR","RTD District A","Inactive","Terminated","20005000812"
"ANDERSON, PHIL","Unaffiliated","2000","STATEWIDE","RTD DIRECTOR","RTD District A","Inactive","Terminated","20005001175"
"ANDERSON, RICHARD","Non-Partisan","2016","STATEWIDE","RTD DIRECTOR","RTD District G","Inactive","Terminated","20165030286"
"ANDERSON, SYNDI","Republican","2012","STATEWIDE","Colorado Senate","Senate District 14","Inactive","Terminated","20115022990"
"ANDREWS, JOHN","Republican","2000","STATEWIDE","Colorado Senate","Senate District 27","Inactive","Terminated","20005000874"
"ANDREWS, ROBERT","Republican","2020","STATEWIDE","Colorado House","House District 41","Inactive","Terminated","20205038137"
"ANDREWS, SUZANNE","Republican","2008","STATEWIDE","Colorado Senate","Senate District 29","Inactive","Terminated","20085617553"
"ANGEL, BRADEN","Democratic","2020","STATEWIDE","District Attorney","District 05","Inactive","Terminated","20205037909"
"ANGELO, WYATT","Republican","1996","STATEWIDE","District Attorney","District 07","Inactive","Terminated","20005000561"
"ANGELO, WYATT","Republican","2000","STATEWIDE","District Attorney","District 07","Inactive","Terminated","20005000795"
"ANGELO, WYATT","Republican","2000","STATEWIDE","District Attorney","District 07","Inactive","Terminated","20005001162"
"ANGLUND, RICHARD","Democratic","2013","STATEWIDE","Colorado Senate","Senate District 03","Active","Active","20135025661"
"ANTILLON, EDGAR","Republican","2010","STATEWIDE","Colorado House","House District 35","Inactive","Terminated","20095614277"
"ANTILLON, EDGAR","Republican","2014","STATEWIDE","Colorado House","House District 32","Inactive","Terminated","20135025445"
"ANTON, HANK","Republican","2000","STATEWIDE","CU Regent","District 03","Inactive","Terminated","20005000122"
"ANTON, HANK","Republican","2000","STATEWIDE","CU Regent","District 03","Inactive","Terminated","20005000999"
"ANTRIM, MARILYN","Non-Partisan","2012","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 18","Inactive","Terminated","20125024846"
"APPEL, CLAUDE","Non-Partisan","2012","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 03","Inactive","Terminated","20125024918"
"APUAN, DENNIS","Democratic","2008","STATEWIDE","Colorado House","House District 17","Inactive","Terminated","20095606506"
"APUAN, DENNIS","Democratic","2010","STATEWIDE","Colorado House","House District 17","Inactive","Terminated","20095606506"
"AQUINO, DAVE","Republican","2020","STATEWIDE","Colorado House","House District 32","Inactive","Terminated","20195036387"
"AQUINO, DAVID","Republican","2010","STATEWIDE","Colorado House","House District 27","Inactive","Terminated","20095610181"
"ARAGON, CORINA","Unaffiliated","1998","STATEWIDE","RTD DIRECTOR","RTD District J","Inactive","Terminated","20005000601"
"ARCHER, PAUL","Republican","2022","STATEWIDE","Colorado House","House District 37","Active","Active","20225042272"
"ARCHULETA, BONNIE","Non-Partisan","2014","STATEWIDE","RTD DIRECTOR","RTD District C","Inactive","Terminated","20145028147"
"ARCHULETA, BONNIE","Non-Partisan","2018","STATEWIDE","RTD DIRECTOR","RTD District C","Inactive","Terminated","20145028147"
"ARCHULETA-ROSSMILLER, MARIE","Republican","2004","STATEWIDE","Colorado House","House District 42","Inactive","Terminated","20045643783"
"ARICAYOS, ISAIA","Republican","2014","STATEWIDE","Colorado House","House District 50","Inactive","Terminated","20135025465"
"ARMAGOST, RYAN","Republican","2022","STATEWIDE","Colorado House","House District 64","Active","Active","20215041805"
"ARMENDARIZ, GILBERTO","Democratic","2018","STATEWIDE","Colorado Senate","Senate District 09","Inactive","Terminated","20185033794"
"ARMSTRONG, DON","Democratic","1994","STATEWIDE","Colorado House","House District 36","Inactive","Terminated","20005000269"
"ARMSTRONG, LINN","Republican","1994","STATEWIDE","Colorado House","House District 55","Inactive","Terminated","20005000308"
"ARMSTRONG, VICKIE","Republican","1994","STATEWIDE","Colorado House","House District 55","Inactive","Terminated","20005000310"
"ARNDT, JENNIFER","Democratic","2014","STATEWIDE","Colorado House","House District 53","Inactive","Terminated","20135025403"
"ARNDT, JENNIFER","Democratic","2016","STATEWIDE","Colorado House","House District 53","Inactive","Terminated","20135025403"
"ARNDT, JENNIFER","Democratic","2018","STATEWIDE","Colorado House","House District 53","Inactive","Terminated","20135025403"
"ARNDT, JENNIFER","Democratic","2020","STATEWIDE","Colorado House","House District 53","Inactive","Terminated","20135025403"
"ARNOLD, BRIAN","Republican","2016","STATEWIDE","Colorado House","House District 56","Inactive","Terminated","20165030206"
"ARNOLD, KEN","Republican","1996","STATEWIDE","Colorado Senate","Senate District 23","Inactive","Terminated","20005000391"
"ARNOLD, KEN","Republican","2000","STATEWIDE","Colorado Senate","Senate District 23","Inactive","Terminated","20005001028"
"ARNOLD, MARY","Republican","2008","STATEWIDE","Colorado House","House District 29","Inactive","Terminated","20085622591"
"ARNOLD, MATTHEW","Republican","2012","STATEWIDE","CU Regent","CU REGENT AT LARGE","Inactive","Terminated","20125023199"
"ARNOLDS, LISA","Non-Partisan","2022","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 02","Active","Active","20225043172"
"ARONSON, NILES","Libertarian","2012","STATEWIDE","Colorado House","House District 28","Inactive","Terminated","20125023681"
"ARONSON, NILES","Libertarian","2014","STATEWIDE","Colorado House","House District 27","Inactive","Terminated","20145027873"
"ARP, RANDALL","Non-Partisan","2014","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 01","Inactive","Terminated","20145028293"
"ARP, RANDALL","Non-Partisan","2020","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 01","Inactive","Terminated","20145028293"
"ARRINGTON, BARRY","Democratic","1994","STATEWIDE","Colorado Senate","Senate District 20","Inactive","Terminated","20005000157"
"ARRINGTON, BARRY","Republican","1996","STATEWIDE","Colorado House","House District 27","Inactive","Terminated","20005000468"
"ARRINGTON, BARRY","Republican","1998","STATEWIDE","Colorado House","House District 27","Inactive","Terminated","20005000704"
"ARRINGTON, BARRY","Republican","2000","STATEWIDE","Colorado House","House District 23","Inactive","Terminated","20005001236"
"ARRINGTON, BARRY","Republican","2010","STATEWIDE","State Board of Ed.","Bd. Ed. District 06","Inactive","Terminated","20105017071"
"ARROWSMITH, JACK","Republican","2014","STATEWIDE","Colorado House","House District 45","Inactive","Terminated","20145026646"
"ARTERY, PAULINE","Democratic","2006","STATEWIDE","Colorado House","House District 63","Inactive","Terminated","20065611680"
"ASHBURN, THOMAS","Non-Partisan","2004","STATEWIDE","RTD DIRECTOR","RTD District F","Inactive","Terminated","20045639357"
"ASHBY, KAREN","Non-Partisan","2012","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 02","Inactive","Terminated","20125024922"
"ASHBY, KAREN","Non-Partisan","2016","STATEWIDE","COURT OF APPEALS JUDGE","","Inactive","Terminated","20165031442"
"ASPINWALL, BILL","Republican","1996","STATEWIDE","District Attorney","District 04","Inactive","Terminated","20005000558"
"ASTLE, BILL","Democratic","2000","STATEWIDE","Colorado House","House District 25","Inactive","Terminated","20005001096"
"ATENCIO, MARGARET","Democratic","2006","STATEWIDE","Colorado House","House District 01","Inactive","Terminated","20055620813"
"ATTRIDGE, JEREMIAH","Libertarian","2022","STATEWIDE","Colorado Senate","Senate District 01","Inactive","Terminated","20225043431"
"ATTWOOD, AMY","Republican","2008","STATEWIDE","Colorado Senate","Senate District 21","Inactive","Terminated","20085619266"
"ATTWOOD, AMY","Republican","2012","STATEWIDE","Colorado House","House District 23","Inactive","Terminated","20115022890"
"ATTWOOD, AMY","Republican","2012","STATEWIDE","Colorado House","House District 28","Inactive","Terminated","20115023040"
"ATWOOD, FRANK","Libertarian","2004","STATEWIDE","Colorado House","House District 38","Inactive","Terminated","20045644064"
"AU GREEN, JEFFREY","Democratic","2020","STATEWIDE","Colorado House","House District 12","Inactive","Terminated","20205038065"
"AUBREY, PETER","Democratic","1994","STATEWIDE","Colorado House","House District 16","Inactive","Terminated","20005000216"
"AUER, CHAD","Republican","1998","STATEWIDE","Colorado Senate","Senate District 07","Inactive","Terminated","20005000648"
"AUER, CHAD","Republican","2012","STATEWIDE","Colorado House","House District 48","Inactive","Terminated","20115018897"
"AUSTIN, JARROD","Libertarian","2012","STATEWIDE","Colorado House","HOUSE DISTRICT 44","Inactive","Terminated","20125024231"
"AUSTIN, STEVEN","Unknown","2000","STATEWIDE","Colorado House","House District 43","Inactive","Terminated","20005001252"
"AVALOS, PATRICK","Unknown","2002","STATEWIDE","Colorado House","House District 46","Inactive","Terminated","20005001342"
"AVILA, YOLANDA","Democratic","2022","STATEWIDE","Colorado Senate","Senate District 11","Inactive","Terminated","20215041729"
"AXELSON, MARY","Non-Partisan","2019","STATEWIDE","COLORADO MOUNTAIN COLLEGE","BOARD OF TRUSTEE","Inactive","Terminated","20195037150"
"AYCRIGG, BENJAMIN","Libertarian","2002","STATEWIDE","Colorado House","House District 03","Inactive","Terminated","20005001609"
"BABBIDGE, TIM","Green Party","2006","STATEWIDE","Colorado House","House District 42","Inactive","Terminated","20065630799"
"BABBS, DAVID","Democratic","2016","STATEWIDE","CU Regent","CU REGENT AT LARGE","Inactive","Terminated","20165030492"
"BACA, CHRISTINE","Democratic","2002","STATEWIDE","State Board of Ed.","Bd. Ed. District 07","Inactive","Terminated","20005001416"
"BACA, RICHARD","Democratic","2000","STATEWIDE","CU Regent","District 03","Inactive","Terminated","20005000121"
"BACHMEYER, CHRISTIE","Non-Partisan","2018","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 01","Active","Terminated","20185035495"
"BACON, BOB","Democratic","1998","STATEWIDE","Colorado House","House District 53","Inactive","Terminated","20005000761"
"BACON, BOB","Democratic","2000","STATEWIDE","Colorado House","House District 53","Inactive","Terminated","20005001140"
"BACON, BOB 'ROBERT'","Democratic","2008","STATEWIDE","Colorado Senate","Senate District 14","Inactive","Terminated","20075629910"
"BACON, JENNIFER","Democratic","2020","STATEWIDE","Colorado House","House District 07","Inactive","Active","20195037885"
"BACON, JENNIFER","Democratic","2022","STATEWIDE","Colorado House","House District 07","Active","Active","20195037885"
"BACON, ROBERT","Democratic","1996","STATEWIDE","Colorado House","House District 53","Inactive","Terminated","20005000523"
"BACON, ROBERT (BOB)","Democratic","2004","STATEWIDE","Colorado Senate","Senate District 14","Inactive","Terminated","20075629910"
"BADGER, BILL","Republican","1998","STATEWIDE","Colorado House","House District 06","Inactive","Terminated","20005000884"
"BAERNS, CHRISTOPHER","Libertarian","2014","STATEWIDE","Colorado House","House District 56","Inactive","Terminated","20145028093"
"BAGLEY, KENT","Non-Partisan","2008","STATEWIDE","RTD DIRECTOR","RTD District H","Inactive","Terminated","20085613045"
"BAGLEY, KENT","Non-Partisan","2012","STATEWIDE","RTD DIRECTOR","RTD District H","Inactive","Terminated","20085613045"
"BAILEY, STEVEN","Unaffiliated","2014","STATEWIDE","Colorado House","House District 02","Inactive","Terminated","20145028216"
"BAIN, WILLIAM","Non-Partisan","2014","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 04","Inactive","Terminated","20145028272"
"BAIN, WILLIAM","Non-Partisan","2020","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 04","Inactive","Terminated","20145028272"
"BAINTER, RIC","Democratic","1998","STATEWIDE","Secretary of State","","Inactive","Terminated","20005000625"
"BAIRD, TERI","Democratic","2018","STATEWIDE","Colorado House","House District 64","Active","Active","20185035270"
"BAISLEY, MARK","Republican","2006","STATEWIDE","Colorado Senate","Senate District 30","Inactive","Terminated","20055617216"
"BAISLEY, MARK","Republican","2018","STATEWIDE","Colorado House","House District 39","Inactive","Terminated","20175032553"
"BAISLEY, MARK","Republican","2020","STATEWIDE","Colorado House","House District 39","Inactive","Terminated","20175032553"
"BAISLEY, MARK","Republican","2022","STATEWIDE","Colorado Senate","Senate District 04","Active","Active","20215041697"
"BAISLEY, MARK","Republican","2024","STATEWIDE","Colorado Senate","Senate District 04","Inactive","Active","20215041697"
"BAKER, BRUCE","Republican","2018","STATEWIDE","Colorado House","House District 35","Inactive","Terminated","20185033764"
"BAKER, JAMES","Republican","2010","STATEWIDE","Colorado House","House District 42","Inactive","Terminated","20105017802"
"BAKER, SANDRA","Democratic","1998","STATEWIDE","Colorado House","House District 21","Inactive","Terminated","20005000901"
"BAKKE, INGRID","Non-Partisan","2014","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 20","Inactive","Terminated","20145028269"
"BAKKE, INGRID","Non-Partisan","2020","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 20","Inactive","Terminated","20145028269"
"BAKKUM, BRIAN","Libertarian","2022","STATEWIDE","Colorado House","House District 28","Active","Active","20225043480"
"BALL, RICHARD","Democratic","2010","STATEWIDE","Colorado Senate","Senate District 15","Inactive","Terminated","20095614777"
"BALLARD, GARY","Republican","2000","STATEWIDE","Colorado House","House District 23","Inactive","Terminated","20005001089"
"BALMER, DAVID","Republican","2004","STATEWIDE","Colorado House","House District 39","Inactive","Terminated","20095611492"
"BALMER, DAVID","Republican","2006","STATEWIDE","Colorado House","House District 39","Inactive","Terminated","20095611492"
"BALMER, DAVID","Republican","2008","STATEWIDE","Colorado House","House District 39","Inactive","Terminated","20095611492"
"BALMER, DAVID","Republican","2010","STATEWIDE","Colorado House","House District 39","Inactive","Terminated","20095611492"
"BALMER, DAVID","Republican","2012","STATEWIDE","Colorado Senate","Senate District 27","Inactive","Terminated","20105018799"
"BALMER, DAVID","Republican","2016","STATEWIDE","Colorado Senate","Senate District 27","Inactive","Terminated","20135025442"
"BAND, WENDY","Democratic","1998","STATEWIDE","Colorado House","House District 37","Inactive","Terminated","20005000932"
"BANDY, AMANDA","Democratic","1994","STATEWIDE","Colorado House","House District 59","Inactive","Terminated","20005000317"
"BARBER, J","Republican","2000","STATEWIDE","Colorado House","House District 34","Inactive","Terminated","20005001243"
"BARBER, JONATHAN","Libertarian","2012","STATEWIDE","Colorado House","House District 38","Inactive","Terminated","20125024081"
"BARBRADY, ROBERT","American Constitution","2022","STATEWIDE","Attorney General","","Active","Active","20225041951"
"BARCLAY, DWAINE","Republican","2022","STATEWIDE","Colorado House","House District 04","Active","Active","20215040064"
