"CommitteeName","CommitteeID","CommitteeType","DateRegistered","CommitteeStatus","JurisdictionDesc"
"COMMITTEE TO ELECT RAY SCOTT (COLORADO HOUSE DISTRICT 55)","20125023252","Candidate Committee","01/30/2012","Terminated","STATEWIDE"
"MARTINEZ FOR SENATE","20125023254","Candidate Committee","01/30/2012","Active","STATEWIDE"
"ELECTIONS MATTER","20125023262","527 Political Organization","01/26/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT BRITTANY PETTERSEN","20125023281","Candidate Committee","02/02/2012","Terminated","STATEWIDE"
"SHELTON FOR COLORADO","20125023282","Candidate Committee","02/02/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT DEBRA IRVINE","20125023290","Candidate Committee","02/02/2012","Terminated","STATEWIDE"
"MCLACHLAN FOR COLORADO","20125023297","Candidate Committee","02/06/2012","Terminated","STATEWIDE"
"ANTHONY DANIELS FOR HOUSE DISTRICT 16","20125023308","Candidate Committee","02/06/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT CLARICE NAVARRO-RATZLAFF","20125023313","Candidate Committee","02/08/2012","Terminated","STATEWIDE"
"PPRM BALLOT ISSUE COMMITTEE","20125023319","Issue Committee","02/09/2012","Terminated","STATEWIDE"
"ELLYN4COLORADO","20125023320","Candidate Committee","02/09/2012","Terminated","STATEWIDE"
"CITIZENS FOR VALUES, VISION, AND VALDEZ","20125023322","Candidate Committee","02/09/2012","Terminated","STATEWIDE"
"FRANGIS4STATEDIST64","20125023330","Candidate Committee","02/11/2012","Terminated","STATEWIDE"
"MULLENS FOR DISTRICT ATTORNEY","20125023331","Candidate Committee","02/13/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT MICKEY RUSSELL","20125023334","Candidate Committee","02/13/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT CLAUDIA FOLSKA","20125023342","Candidate Committee","02/13/2012","Terminated","STATEWIDE"
"LEADERSHIP TO PROSPERITY POLITICAL ACTION COMMITTEE","20125023345","Political Committee","02/13/2012","Terminated","STATEWIDE"
"COMM TO RE-ELECT LARRY CROWDER","20125023353","Candidate Committee","02/14/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JEFF THORNTON","20125023357","Candidate Committee","02/13/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT ALBERT SWEET","20125023360","Candidate Committee","02/14/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JODINA BLOUNCHE WIDHALM","20125023373","Candidate Committee","02/15/2012","Terminated","STATEWIDE"
"WALKER FOR RTD","20125023411","Candidate Committee","02/21/2012","Terminated","STATEWIDE"
"KREFFT FOR HOUSE DISTRICT 38","20125023478","Candidate Committee","02/28/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT EMILY TRACY TO SD8","20125023485","Candidate Committee","02/28/2012","Terminated","STATEWIDE"
"SANITYCOLORADO","20125023496","Issue Committee","02/27/2012","Terminated","STATEWIDE"
"JAMES WILDT FOR HD1","20125023498","Candidate Committee","02/29/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JOHN KIDD","20125023506","Candidate Committee","03/01/2012","Terminated","STATEWIDE"
"LORNA IDOL CAMPAIGN","20125023519","Candidate Committee","03/02/2012","Terminated","STATEWIDE"
"DRIVER'S LICENSES FOR ALL","20125023561","Issue Committee","03/05/2012","Active","STATEWIDE"
"CITIZENS FOR DAVID PALADINO","20125023563","Candidate Committee","03/05/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT MIKE SHEELY","20125023584","Candidate Committee","03/06/2012","Terminated","STATEWIDE"
"NEVILLE FOR COLORADO","20125023587","Candidate Committee","03/06/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JARED WRIGHT","20125023615","Candidate Committee","03/06/2012","Terminated","STATEWIDE"
"LEYENDECKER FOR STATE REPRESENTATIVE HD24","20125023632","Candidate Committee","03/07/2012","Terminated","STATEWIDE"
"VOTE JIM ONEILL .COM","20125023646","Candidate Committee","03/07/2012","Terminated","STATEWIDE"
"DAN FOR 55","20125023647","Candidate Committee","03/07/2012","Terminated","STATEWIDE"
"STEVE BARTON FOR DISTRICT 60","20125023671","Candidate Committee","03/08/2012","Terminated","STATEWIDE"
"JON FYE FOR HOUSE DISTRICT 53","20125023709","Candidate Committee","03/12/2012","Terminated","STATEWIDE"
"SMART COLORADO","20125023728","Issue Committee","03/14/2012","Terminated","STATEWIDE"
"FAY FOR COLORADO","20125023736","Candidate Committee","03/14/2012","Terminated","STATEWIDE"
"COLLINS FOR HD60","20125023757","Candidate Committee","03/15/2012","Terminated","STATEWIDE"
"RELIGIOUS FREEDOM FOR ALL COLORADANS","20125023859","Issue Committee","03/16/2012","Terminated","STATEWIDE"
"RUSTYPRICE4HD54","20125023878","Candidate Committee","03/16/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JESSE L QUINBY","20125023917","Candidate Committee","03/19/2012","Terminated","STATEWIDE"
"BUCKNER FOR COLORADO","20125024003","Candidate Committee","03/21/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT ADAM OCHS","20125024015","Candidate Committee","03/21/2012","Terminated","STATEWIDE"
"HARRIS FOR RTD BOARD","20125024033","Candidate Committee","03/21/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT FRANCINE BIGELOW TO STATE SENATE","20125024042","Candidate Committee","03/21/2012","Terminated","STATEWIDE"
"CITIZENS TO ELECT VINCE CHOWDHURY","20125024148","Candidate Committee","03/23/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JIM WILSON","20125024176","Candidate Committee","03/24/2012","Terminated","STATEWIDE"
"ADRIENNE FOR HOUSE DISTRICT 41","20125024240","Candidate Committee","03/26/2012","Terminated","STATEWIDE"
"ELECT THOMAS TONY EXUM","20125024246","Candidate Committee","03/26/2012","Terminated","STATEWIDE"
"STOUGHTON FOR COLORADO","20125024247","Candidate Committee","03/26/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT BOB MORAIN","20125024250","Candidate Committee","03/23/2012","Terminated","STATEWIDE"
"CHRIS IBBETSON FOR COLORADO HOUSE DISTRICT 21","20125024253","Candidate Committee","03/26/2012","Terminated","STATEWIDE"
"PAUL "BOOTS" REIMER FOR REPRESENTATIVE DISTRICT 32","20125024280","Candidate Committee","03/27/2012","Terminated","STATEWIDE"
"SENATE COMMITTEE FOR BILL ROSS","20125024295","Candidate Committee","03/27/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT TIM WALTERS","20125024319","Candidate Committee","03/27/2012","Terminated","STATEWIDE"
"COMMITTE TO ELECT MATTHEW PLICHTA FOR SD 21","20125024328","Candidate Committee","03/29/2012","Terminated","STATEWIDE"
"JAMES BRISTOL COMMITTEE TO RESTORE GOVERNMENT INTEGRITY","20125024340","Candidate Committee","04/01/2012","Terminated","STATEWIDE"
"MORTON BROOKS","20125024345","Candidate Committee","04/02/2012","Terminated","STATEWIDE"
"FRIENDS OF MARY DAMBMAN","20125024350","Candidate Committee","04/02/2012","Terminated","STATEWIDE"
"PLAGAINOS4SENATE.COM","20125024365","Candidate Committee","04/02/2012","Terminated","STATEWIDE"
"CABLEVISION SYSTEMS COLORADO POLITICAL ACTION COMMITTEE","20125024367","Political Committee","04/02/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JEFF BJORLIN","20125024369","Candidate Committee","04/02/2012","Terminated","STATEWIDE"
"ERICKSON HOUSE 63","20125024370","Candidate Committee","04/03/2012","Terminated","STATEWIDE"
"FRIENDS OF BETH HUMENIK","20125024444","Candidate Committee","04/03/2012","Terminated","STATEWIDE"
"RUSS LYMAN FOR HD 12","20125024492","Candidate Committee","04/03/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT ALAN JOHNSON","20125024534","Candidate Committee","04/04/2012","Terminated","STATEWIDE"
"ELECT STUART FOR HD4 REPRESENTATIVE","20125024574","Candidate Committee","04/05/2012","Terminated","STATEWIDE"
"MAZANEC FOR STATE BOARD OF EDUCATION","20125024614","Candidate Committee","04/09/2012","Terminated","STATEWIDE"
"TRUTH ABOUT TRANSPORTATION","20125024635","Issue Committee","04/10/2012","Terminated","STATEWIDE"
"COLORADO FARM BUREAU POLITICAL COMMITTEE","20125024655","Political Committee","04/11/2012","Active","STATEWIDE"
"SPOONER FOR COLORADO","20125024657","Candidate Committee","04/11/2012","Terminated","STATEWIDE"
"HOTSENPILLER ELECTION COMMITTEE","20125024658","Candidate Committee","04/11/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT HYATT DISTRICT ATTORNEY","20125024671","Candidate Committee","04/16/2012","Terminated","STATEWIDE"
"DAVID JUSTICE CAMPAIGN","20125024682","Candidate Committee","04/17/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JIM BULLOCK DISTRICT ATTORNEY","20125024711","Candidate Committee","04/18/2012","Terminated","STATEWIDE"
"THE COMMITTEE TO ELECT GREG THORNTON","20125024715","Candidate Committee","04/18/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT HOLLY GORMAN","20125024719","Candidate Committee","04/20/2012","Terminated","STATEWIDE"
"THE NO MORE NONSENSE COMMITTEE","20125024721","Candidate Committee","04/20/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT MICHELE POAGUE","20125024729","Candidate Committee","04/23/2012","Terminated","STATEWIDE"
"CITIZENS FOR TOM GRUSHKA","20125024732","Candidate Committee","04/23/2012","Terminated","STATEWIDE"
"CAMPAIGN TO ELECT JO ANN BAXTER","20125024741","Candidate Committee","04/24/2012","Active","STATEWIDE"
"MIKE DONALD FOR HOUSE 42","20125024755","Candidate Committee","04/25/2012","Active","STATEWIDE"
"JUDY LUBOW FOR RTD DISTRICT I","20125024758","Candidate Committee","04/26/2012","Terminated","STATEWIDE"
"CALOIA FOR 9TH DA","20125024759","Candidate Committee","04/26/2012","Terminated","STATEWIDE"
"FRIENDS OF JERRY DENNEY","20125024766","Candidate Committee","04/27/2012","Terminated","STATEWIDE"
"LEGION OF JUSTICE","20125024768","Candidate Committee","04/28/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT BILL ECKERT TO HD 10","20125024769","Candidate Committee","04/30/2012","Terminated","STATEWIDE"
"CITIZENS TO KEEP OUR NEIGHBORHOODS SAFE, INC.","20125024771","527 Political Organization","05/01/2012","Terminated","STATEWIDE"
"LOGAN FOR COLORADO","20125024772","Candidate Committee","05/02/2012","Terminated","STATEWIDE"
"FRENCH 2012","20125024776","Candidate Committee","05/02/2012","Terminated","STATEWIDE"
"CELESTE 4 HOUSE DISTRICT 9","20125024777","Candidate Committee","05/03/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT SKIP CARLSON TO HOUSE DISTRICT 50","20125024785","Candidate Committee","05/04/2012","Terminated","STATEWIDE"
"SAFE CANNABIS COMMITTEE","20125024786","Issue Committee","05/04/2012","Terminated","STATEWIDE"
"CITIZENS FOR DONOVAN ODELL","20125024787","Candidate Committee","05/04/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT PETER L. COMAR","20125024788","Candidate Committee","05/07/2012","Terminated","STATEWIDE"
"CONSTITUTIONAL RIGHTS COLORADO","20125024789","Issue Committee","05/05/2012","Terminated","STATEWIDE"
"LEADERSHIP MATTERS","20125024791","527 Political Organization","04/09/2012","Terminated","STATEWIDE"
"PIER COHEN FOR HD60","20125024793","Candidate Committee","05/07/2012","Terminated","STATEWIDE"
"END UNJUST FORECLOSURES","20125024797","Issue Committee","05/10/2012","Terminated","STATEWIDE"
"PROTECT COLORADO WATER","20125024799","Issue Committee","05/12/2012","Terminated","STATEWIDE"
"LOG CABIN SMALL DONOR COMMITTEE","20125024802","Small Donor Committee","05/14/2012","Terminated","STATEWIDE"
"DEBERRY2012","20125024803","Candidate Committee","05/14/2012","Terminated","STATEWIDE"
"COLORADO SUNSHINE COALITION","20125024806","Small Donor Committee","05/15/2012","Terminated","STATEWIDE"
"CADMAN FOR COLORADO","20125024807","Candidate Committee","05/16/2012","Terminated","STATEWIDE"
"COLORADO VALUES","20125024812","527 Political Organization","05/17/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT CHERYL HAUGER","20125024839","Candidate Committee","05/21/2012","Terminated","STATEWIDE"
"COLORADO CHAPTER, AMERICAN COLLEGE OF EMERGENCY PHYSICIANS SMALL DONOR COMMITTEE","20125024840","Small Donor Committee","05/21/2012","Active","STATEWIDE"
"VOTE INDEPENDENT COLORADO","20125024843","Political Committee","05/22/2012","Terminated","STATEWIDE"
"FRANKPAC","20125024844","Political Committee","05/23/2012","Terminated","STATEWIDE"
"CENTENNIAL STATE LEADERSHIP COMMITTEE","20125024847","Political Committee","05/24/2012","Active","STATEWIDE"
"LIBERTY LEADERSHIP POLITICAL ACTION COMMITTEE","20125024852","Political Committee","05/25/2012","Active","STATEWIDE"
"WESTERN REPUBLICAN VALUES","20125024853","Political Committee","05/25/2012","Active","STATEWIDE"
"COLORADO VALUES","20125024856","Independent Expenditure Committee","05/25/2012","Terminated","STATEWIDE"
"RESOURCES FOR A BETTER COLORADO","20125024861","527 Political Organization","05/30/2012","Active","STATEWIDE"
"COMMITTEE TO ELECT LOU LEONE","20125024863","Candidate Committee","05/31/2012","Terminated","STATEWIDE"
"DICKEY LEE HULLINGHORST LEADERSHIP FUND","20125024865","Political Committee","05/31/2012","Terminated","STATEWIDE"
"WALLER'S OUTSTANDING LEADERSHIP FUND","20125024876","Political Committee","06/04/2012","Terminated","STATEWIDE"
"MURRAYPAC","20125024881","Political Committee","06/04/2012","Terminated","STATEWIDE"
"BRIANPAC","20125024883","Political Committee","06/04/2012","Terminated","STATEWIDE"
"AGC COLORADO SMALL DONOR COMMITTEE","20125024884","Small Donor Committee","06/04/2012","Terminated","STATEWIDE"
"THE EVERGREEN COMMITTEE","20125024885","Political Committee","06/04/2012","Active","STATEWIDE"
"ILSEMAN FOR RTD","20125024888","Candidate Committee","06/05/2012","Terminated","STATEWIDE"
"KEVIN'S POLITICAL ACTION COMMITTEE OR KPAC","20125024889","Political Committee","06/05/2012","Active","STATEWIDE"
"COLORADO LEAGUE OF RESPONSIBLE VOTERS","20125024899","Issue Committee","06/08/2012","Terminated","STATEWIDE"
"SZABOPAC","20125024908","Political Committee","06/12/2012","Terminated","STATEWIDE"
"COLORADANS FOR A NEW MAJORITY","20125024910","Political Committee","06/12/2012","Terminated","STATEWIDE"
"SMALL BUSINESS COALITION","20125024911","Independent Expenditure Committee","06/12/2012","Terminated","STATEWIDE"
"THE RIGHT LEADERSHIP PAC","20125024912","Political Committee","06/12/2012","Active","STATEWIDE"
"ELECT JAN P TO RTD","20125024914","Candidate Committee","06/13/2012","Terminated","STATEWIDE"
"COLORADANS FOR A NEW MAJORITY","20125024915","Small Donor Committee","06/13/2012","Terminated","STATEWIDE"
"GJRESULT.TEAPARTY.COM","20125024920","Political Committee","06/18/2012","Terminated","STATEWIDE"
"COLORADO CLEANTECH PAC","20125024931","Political Committee","06/19/2012","Active","STATEWIDE"
"ROCKY MOUNTAIN CHAPTER OF ASSOCIATED BUILDERS & CONTRACTORS CO FEA (COLORADO FREE ENTERPRISE ALLIANC","20125024943","Independent Expenditure Committee","06/19/2012","Active","STATEWIDE"
"FIGHT BACK COLORADO","20125024944","Independent Expenditure Committee","06/19/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT TOVE FORGO","20125024948","Candidate Committee","06/21/2012","Terminated","STATEWIDE"
"MOMS AND DADS FOR MARIJUANA REGULATION","20125024955","Issue Committee","06/22/2012","Terminated","STATEWIDE"
"COLORADANS GET BIG MONEY OUT OF POLITICS","20125024957","Issue Committee","06/22/2012","Terminated","STATEWIDE"
"GROW FREEDOM GROW PROSPERITY","20125024962","Political Committee","06/25/2012","Terminated","STATEWIDE"
"COLORADO CORN GROWERS ASSOCIATION SMALL DONOR COMMITTEE","20125024972","Small Donor Committee","06/28/2012","Active","STATEWIDE"
"THE CENTENNIAL FUND","20125024975","527 Political Organization","06/28/2012","Active","STATEWIDE"
"DEMOCRATS FOR EDUCATION REFORM COLORADO POLITICAL COMMITTEE","20125024976","Political Committee","06/28/2012","Active","STATEWIDE"
"SEIU LOCAL 105 SMALL DONOR COMMITTEE FOR WORKING FAMILIES","20125024985","Small Donor Committee","07/02/2012","Active","STATEWIDE"
"FAIR SHARE COMMITTEE TO GET BIG MONEY OUT OF POLITICS","20125024989","Issue Committee","07/03/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT RICH HIMMEL","20125024991","Candidate Committee","07/05/2012","Terminated","STATEWIDE"
"PEOPLE FOR PARKER","20125025001","Candidate Committee","07/09/2012","Terminated","STATEWIDE"
"COLORADO JUSTICE PROJECT","20125025008","527 Political Organization","07/11/2012","Terminated","STATEWIDE"
"COLORADO LIBERTY FUND","20125025009","Political Committee","07/11/2012","Active","STATEWIDE"
"ANCHOR POINT FOR PROGRESS","20125025010","Political Committee","07/12/2012","Terminated","STATEWIDE"
"DAVID DOBSON HD4","20125025011","Candidate Committee","07/12/2012","Terminated","STATEWIDE"
"COLORADO VOTERS FOR ANIMALS SMALL DONOR COMMITTEE","20125025015","Small Donor Committee","07/14/2012","Active","STATEWIDE"
"DURANGO LA PLATA GOVERNMENT ACCOUNTABILITY PROJECT (“DGAP”)","20125025022","Independent Expenditure Committee","07/16/2012","Terminated","STATEWIDE"
"GUZMAN GREEN FUND FOR A BETTER COLORADO","20125025023","Political Committee","07/17/2012","Terminated","STATEWIDE"
